order_item_id,order_id,product_id,quantity
1,1,18,2
2,1,25,4
3,2,23,1
4,2,16,1
5,2,15,3
6,3,13,2
7,4,22,3
8,4,19,4
9,5,17,3
10,5,12,3
11,5,14,4
12,6,10,2
13,6,9,1
14,7,7,2
15,7,11,2
16,7,4,2
17,8,16,3
18,8,9,1
19,8,24,2
20,9,8,2
21,9,12,3
22,10,23,2
23,11,2,3
24,11,18,2
25,12,28,1
26,12,25,1
27,12,16,3
28,13,16,3
29,13,15,2
30,14,9,4
31,15,27,1
32,16,16,1
33,16,3,2
34,17,26,3
35,18,8,1
36,19,25,2
37,19,14,4
38,19,20,4
39,20,10,4
40,20,28,3
41,21,20,1
42,21,2,2
43,21,24,2
44,22,22,2
45,22,3,2
46,23,18,1
47,24,1,4
48,25,23,4
49,25,20,3
50,26,8,3
51,27,10,4
52,27,23,1
53,27,28,2
54,28,26,2
55,28,21,4
56,29,18,2
57,30,5,2
58,30,30,1
59,30,9,1
60,31,26,3
61,32,24,3
62,32,27,4
63,32,19,1
64,33,23,4
65,33,10,3
66,34,18,1
67,34,16,1
68,34,15,4
69,35,11,1
70,35,20,1
71,35,9,2
72,36,27,1
73,36,28,3
74,36,19,1
75,37,16,4
76,38,6,4
77,38,19,4
78,39,16,3
79,40,11,1
80,40,22,2
81,41,14,4
82,41,23,3
83,42,13,1
84,42,27,4
85,42,25,1
86,43,9,1
87,43,11,4
88,44,27,4
89,44,1,4
90,44,22,1
91,45,17,3
92,46,25,4
93,46,16,1
94,46,21,2
95,47,18,3
96,47,5,4
97,48,16,2
98,48,4,2
99,48,1,3
100,49,1,1
101,49,18,2
102,49,14,1
103,50,4,2
104,50,21,4
105,51,10,3
106,51,17,4
107,51,23,4
108,52,8,2
109,52,15,4
110,53,30,2
111,54,9,4
112,55,30,3
113,55,26,1
114,56,24,4
115,56,10,2
116,57,18,3
117,57,16,3
118,58,25,4
119,58,18,3
120,58,13,2
121,59,8,2
122,59,19,4
123,59,13,1
124,60,24,4
125,60,16,4
126,61,26,2
127,61,27,4
128,61,21,1
129,62,17,3
130,63,28,4
131,64,17,4
132,65,24,2
133,66,28,2
134,66,21,1
135,67,26,3
136,67,9,4
137,68,3,4
138,68,28,3
139,68,11,4
140,69,2,2
141,69,20,3
142,69,3,2
143,70,3,1
144,70,14,4
145,70,4,2
146,71,10,1
147,71,29,3
148,71,1,1
149,72,12,2
150,72,14,2
151,73,14,2
152,73,19,2
153,73,22,2
154,74,20,4
155,75,22,2
156,75,8,2
157,75,16,4
158,76,9,1
159,76,15,4
160,76,22,3
161,77,18,4
162,77,6,3
163,77,3,3
164,78,14,4
165,78,23,3
166,78,9,2
167,79,28,1
168,79,16,2
169,80,19,3
170,80,12,3
171,81,27,4
172,82,1,1
173,82,19,4
174,83,25,2
175,83,26,3
176,84,21,2
177,85,9,2
178,85,22,1
179,85,25,1
180,86,26,1
181,86,15,3
182,87,5,3
183,87,3,3
184,87,30,4
185,88,7,2
186,89,29,3
187,89,12,2
188,89,17,3
189,90,26,3
190,90,10,1
191,91,3,2
192,91,5,4
193,92,12,4
194,92,3,1
195,92,26,3
196,93,4,3
197,93,15,4
198,93,12,3
199,94,22,2
200,95,1,3
